tweet_id,text
1224891297166573568,"David Faitelson
@DavidFaitelson_
·
Feb 4, 2020
Como en casa, en el futbol mexicano siempre vamos un paso atrás con la tecnología: ¿Y el “ojo de halcón”?
74
12
341"
949727585658847232,"David Faitelson
@DavidFaitelson_
·
Jan 6, 2018
El Barcelona ha elevado sus “bonos” para buscarlo todo en la temporada. La llegada de Coutinho (y su precio) pueden marcar la diferencia...
71
135
837"
949532162960732160,"David Faitelson
@DavidFaitelson_
·
Jan 6, 2018
El mejor “movimiento” del América: la renovación de 
@OribePeralta
133
184
1.5K"
949476110709882881,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
“El Tuca” y sus Tigres saben muy bien que esto no se trata de cómo comienzas, sino de cómo terminas...
376
1.1K
4.6K"
949469210790395904,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
¿Gol “fantasma” en el Cuauhtémoc?
Lo que urge es la tecnología.
Para mí fue gol del Puebla.
126
72
532"
949427406900736000,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
http://espn.com.mx/blogs/index?nombre=david_faitelson&entryID=3849788…
17
11
42"
949426482790715393,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
http://espn.com.mx/video/clip/_/id/3848032…
5
3
26"
949420180769333248,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
Receta francesa”: Si Jérémy Ménez quiere triunfar en México, debe hacer exactamente lo mismo que ha hecho André Pierre Gignac…
269
194
1K"
949365920656478210,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
América, Chivas, Pachuca, Cruz Azul… ¿Quién está más cerca de los clubes regiomontanos?
576
72
488"
949365274104532993,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
Comienza un nuevo torneo mexicano con la inevitable pregunta: ¿Es una “Liga de dos”? ¿Qué tan lejos están “los demás” de Tigres y Rayados?
368
112
603"
949362036701585409,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
El América ya ganó...
Justo el día en que comienza la nueva temporada del futbol mexicano, el América ha vuelto a ser “trending topic”, la nueva escala de medición sobre la capacidad mediática de una persona o de una entidad.
101
109
579"
949346446754570240,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
Funcione o no funcione, Jérémy Ménez ha sido ya un buen movimiento. El América es un club que vive y necesita permanentemente de “golpes mediáticos”.
197
190
1K"
949333615057321984,"David Faitelson
@DavidFaitelson_
·
Jan 5, 2018
El América busca a “su” Gignac.
Encuentra también a un francés, que también es delantero, pero que esta por cumplir un año sin hacer un gol...
361
664
2.6K"
949141744536317953,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
Lo difícil, en el caso Chivas-Alanís, no es apoyar una u otra causa. Lo verdaderamente difícil es decir la verdad…
91
53
523"
949123919981699073,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
Con base a las cifras del #INE el legendario Medallista Olímpico Raúl González logra las firmas válidas para ser candidato a Senado por #NL http://ine.mx/candidaturasindependientes/…
40
29
115"
949112074952523776,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
Como siempre, Jorge Vergara reacciona con cordura e inteligencia cuando alguien o algunos en Chivas no la han mostrado en el caso Oswaldo Alanís. 
Estoy seguro de que el dueño de Omnilife resuelve el tema en 15 minutos...
259
206
1.6K"
949109071512154112,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
http://espn.com.mx/video/clip/_/id/3848032…
9
6
33"
949056323362045952,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
http://espn.com.mx/video/clip/_/id/3844966…
13
8
30"
949051752522772485,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
espn.com.mx
Chivas ""veta"" a un futbolista...
Alanís tiene sobre el cuello la implacable y angustiosa “espada” de los dirigentes del futbol mexicano con su deleznable “Pacto de Caballeros”.
47
27
73"
949009182065242112,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
México debe ser el único futbol del mundo donde un entrenador anuncia “el veto” de un futbolista y todos nos quedamos de brazos cruzados como si no pasara absolutamente nada. ¡Que vergüenza!
567
830
3K"
949004657547911168,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
Son 8 títulos en 730 días. Zidane ha comenzado “lentamente” su proceso como entrenador de futbol.
45
42
343"
949004273110495232,"David Faitelson
@DavidFaitelson_
·
Jan 4, 2018
Hay que “felicitar” al América. Según “Scoccerex Football Finance 100” es el club más “poderoso” del Latinoamérica, cosa que, por ahora no se refleja en la cancha.
375
225
1.2K"
948708413810335744,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
La poca actividad de los futbolistas mexicanos en Europa es un fenómeno que preocupa a los propios jugadores y a Juan Carlos Osorio. El Mundial está a la vuelta de la esquina…
69
39
220"
948706593775980544,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
Zidane deja abierta la posibilidad de que el Real Madrid 
“salga de compras” antes del 31 de enero. La pregunta es: ¿Qué hay disponible que pueda ayudarle al Campeón de Europa?
162
45
354"
948704309281247232,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
El América no sabe qué es lo que realmente necesita como refuerzos, pero lo que sí sabe es que necesita, urgentemente, una esperanza para acercarse a Tigres y a Rayados…
229
248
1.2K"
948691335749558277,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
“Lalo” o “Chofis” ++como quiera Matías Almyeda++ pero la mejor parte de Javier Eduardo López como futbolista debe surgir y establecerse…
50
20
267"
948669429017018368,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
espn.com.mx
El América busca una esperanza...
América busca un “regalo” de Reyes para sus aficionados, una ilusión, una promesa de que será capaz de luchar por el trofeo en mayo…
20
8
34"
948622241352200193,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
Sigo sin entender la posición de Chivas en el caso de Oswaldo Alanís.
¿Lo quiero? ¿No lo quiero? ¿Me sirve? ¿No me sirve?
Tal parece que lo que quisieron evitar, al final, es el juicio de la opinión pública sobre el trato al futbolista.
128
104
754"
948618891697184768,"David Faitelson
@DavidFaitelson_
·
Jan 3, 2018
El verdadero ""peligro"" de los pocos minutos de ""Chicharito"" en el West Ham es la MLS. Espero que, a sus 29 años, Javier Hernández soporte la tentación y se mantenga en el mejor nivel posible de su profesión...
143
60
631"
948399659269029889,"David Faitelson
@DavidFaitelson_
·
Jan 2, 2018
Ya que andamos con holandeses, al América le viene bien Luuk de Jong, aunque le vendría mejor Arjen Robben...
211
109
949"
955168206368337921,"David Faitelson
@DavidFaitelson_
·
Jan 21, 2018
Ni con la “ayuda” del arbitro, el Pumas-América alcanzó para generar algo...
Ni hablar...
91
57
632"
955166730975719424,"David Faitelson
@DavidFaitelson_
·
Jan 21, 2018
Pumas y América terminan en deuda de acuerdo con la expectación que generó el partido...
Llegadas, emociones, pero nada más...
101
60
427"
